ukrainian,definition
атакуючии,spiker
аташе,attaché
атеізм,atheism
атеіст,atheist
атеістичнии,atheistic
ательє,"studio, atelier; tailor's (shop)"
атентат,( у) ч attempt on а
атеросклероз,atherosclerosis
атестат,certificate
атестація,"board/(medical) postgraduate certification; GCSE (exam), A level(s)"
атестіат,"(-у) ч certificate, attestation; виставляти ~ to grant"
атиповии,"atypical, untypical"
атлантичнии,Atlantic
атлас,atlas | satin
атласовии,satined
атлет,(BrE)
атлетика,"athletics, (AmE); weightlifting; track and field events"
атлетичнии,athletic
атлетка,(female) athlete
атмосфера,atmosphere
атмосферичнии,"пр, ~ний, ~овий atmosnheric(al)"
атмосфернии,atmospheric; atmospheric pressure
атол,atoll
атом,atom
атомнии,"atomic; atom bomb, atomic bomb, A-bomb; atomic number"
атопічнии,atopic
атракціон,"amusements, attraction"
атракція,(-ії) ж attraction
атрибут,attribute
атріум,atrium
атропін,"atropin, atropine"
атрофія,atrophy
атрофуватися,atrophy
аувати,"to certify, to attest"
аугментатив,augmentative
аудит,audit; audit sth
аудитор,"comptroller, auditor"
аудиторія,lecture room
аудиторка,(female) auditor
аудієнція,audience with sb
аудіо,audio
аудіовізуальнии,audiovisual
аудіодоріжка,track
аудіокнижка,audiobook
аудіотехніка,audio equipment
аукціон,"auctioning, bargaining, auction"
аукціонер,bidder
аукціоніст,auctioneer
аутизм,autism
аутист,autistic person
аутистка,(female) autistic
аутичнии,autistic
аутопсія,"autopsy, postmortem (examination)"
аутсаидер,"underdog, outsider"
аутсорсинг,outsourcing
аутфіт,outfit
Афганістан,Afghanistan
афганськии,Afghan
афект,affect
афектовании,"affected, artificial, stilted"
афера,"(-ри) ж affair, concern,"
афина,(-ни) ж bilberry
афікс,affix
Афіни,Athens
афіша,poster
афішаувати,"to advertise (on posters), to post up bills"
афішувати,Don't advertise it.
афоризм,aphorism
Африка,Africa
африканець,African
африканка,African
африканськии,African
афроамериканець,African-American
афро-американськии,African-American
афродизіак,aphrodisiac
афта,"aphtha, canker sore"
ах,oh
ацетат,acetate
ацетилен,"acetylene, ethyne"
ацетон,acetone
ацетонуся,(-сі) ж granny cake^
ацтек,Aztec; Aztec Empire
ацтецькии,"Aztec, Aztecan"
ая,heartily
баба,old woman | ring-shaped cake
бабак,marmot
баба-яга,(old) witch
бабіи,"philanderer, womanizer, (BrE)"
бабка,old woman | dragonfly | ring-shaped cake
бабки,brass
бабло,brass
бабуін,baboon
бабуня,(-ні) ж grandmother; бабський
бабуся,grandparents
бабця,grandma
бабчитися,to wrinkle; to
баварецськии,"Bavarian бавити (-влю, -виш) to entertain, to amuse"
баварець,(-рпя) ч Bavarian; Б~ія (-ії)ж Bavaria
Баварія,Bavaria
баварськии,Bavarian
бавовна,cotton
бавовнаик,(-ка) ч бот. cotton-plant a. -tree
бавовнаяні,товари cotton goods мн.
бавовник,cotton (plant)
бавовнянии,cotton
багаж,"piece of luggage; luggage, baggage"
багажнии,"luggage, baggage; luggage compartment; (BrE)"
багажник,"(BrE); bike rack; roof rack, (AmE)"
Багами,"Bahamas, Bahama Islands"
багамськии,Bahamian
багатии,in many places
багатіи,"rich man, man of means"
багатіти,grow rich(er)
багато,I'm too busy now
багатобожжя,polytheism
багатоборство,"heptathlon, multi-event competition"
багатогодиннии,(lasting) many hours
багатогранник,polyhedron
багатоженство,"polygyny, polygamy"
багатознавець,polymath
багатозначнии,"telling, revealing"
багатозначність,polysemy
багатолюднии,densely populated
багатомовнии,multilingual
багатонаціональнии,multinational
багатоніжка,"centipede, millipede"
багатообіцяюче,promisingly
багатообіцяючии,auspicious
багатоповерхівка,"tower block, high-rise (building)"
багатоповерховии,multi-storey house
багаторазовии,multiple
багаторазово,"many times, manifold"
багаторасовии,multiracial
багаторічнии,perennial
багаторічник,perennial (plant)
багатосторонніи,multilateral
багатофункціональнии,multifunctional
багатошаровии,"multi-layer, multilayered"
багатство,wealth
багаття,"bonfire, campfire, camp fire"
багач,"rich man, man of means"
баггі,(beach) buggy
багер,(-а) ч тех. dredging machine
багет,"baguette, French bread"
багнет,bayonet
багнистии,"np boggy, marshy"
багно,"mud, slime, sludge"
багор,(-гра) ч purple
багрянии,purple
багряниииця,;-иці) ж purple robe
баґаж,(-ажу) ч luggage; AM. baggage
баґажник,"(-ка) ч (railway) porter, теж носій"
баґнет,(-а) ч bayonet
бадилина,"(-ни) ж stem, stalk"
бадилля,"tops, haulm"
бадмінтон,badminton
бадьории,"cheerful, cheery, lively, energetic, sprightly"
бадьян,star anise
бажании,welcome
бажання,optionally
бажано,preferably
бажатанина,"(-ини) ж babble, gab, idle talk, gossip"
бажати,What can I do for you
бажатиати,"to babble, to jabber, to gossip базник (-ика́) ч elder базька (-ки) ж бот. catkin байбарис (~у) ч бот. barberry байдикувати to idle, to lounge; to laiter, to dawdle байдуж(н) ий np indifferent Гдо - to); supine; insensible (of, to); це мені байдуже. I don't care (for it)"
бажатиити,"(дівчата) to seduce; to flurry, to puzzle балачка (-.ки) ж = балаканина балет ( у) ч ballet"
бажатиолог,(-ло́га) чbacteriologist
бажатиологія,"(-ії) ж bacteriology бакун (-уна́) ж Indian tobacco бациль (-ля) ч bacillus (мн.-і) балаган ( у) ч disorder балак ати to talk, to tattle, to jaw; to chat, to chatter"
бажатиун,"(-на́) ч babbler, gossip, chatterbox;"
бажатість,"ж (-ж[н]ости) indifference, insensibility (до - of, to) байка (-ки) ж fable; yawn; оповідати байки (казки) to fable ' байц|а (-ци) ж stain"
бажатувати,"to stain бак (-а) ч (резервуа́р) tank баки (-ків) мн. whiskers мн.; забити комусь ~ to befool, to infatuate; щ. to make a fool of a p. баклажан (-а) ч tomato (гл. помідор) бактері я (-ії) ж bacterium (мн. -іа)"
бажатучии,np talkative
бажатучість,ж talkativeness баламут (-а) ч seducer
бажаючии,"desirous of sth; taker, interested person/party"
база,wheelbase
базальнии,basal
базальт,basalt
базар,"market, marketplace, (AmE); used cars (dealer), car mart; Christmas market"
базилік,basil
базиліка,basilica
базіка,just a
базікання,"natter, rigmarole"
базікати,"natter, drivel"
